 2019-04-07 18:24:03,031 [P1760/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.13.2 application starting on DESKTOP-KE192O0
 2019-04-07 18:24:03,057 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2019-04-07 18:24:03,071 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 14ms)
 2019-04-07 18:24:03,133 [P1760/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2019-04-07 18:24:03,134 [P1760/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2019-04-07 18:24:03,138 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-04-07 18:24:05,958 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 2820ms)
 2019-04-07 18:24:05,958 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2019-04-07 18:24:05,966 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 8ms)
 2019-04-07 18:24:05,984 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-04-07 18:24:05,985 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 1ms)
 2019-04-07 18:24:05,985 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2019-04-07 18:24:05,991 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 5ms)
 2019-04-07 18:24:05,991 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-04-07 18:24:05,992 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-04-07 18:24:05,992 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2019-04-07 18:24:05,998 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyValueConverter (took 5ms)
 2019-04-07 18:24:06,012 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-04-07 18:24:06,013 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-04-07 18:24:06,013 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.Mvc.SurfaceController
 2019-04-07 18:24:06,019 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.Mvc.SurfaceController (took 5ms)
 2019-04-07 18:24:06,020 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-04-07 18:24:06,021 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-04-07 18:24:06,021 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.WebApi.UmbracoApiController
 2019-04-07 18:24:06,026 [P1760/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.WebApi.UmbracoApiController (took 4ms)
 2019-04-07 18:24:15,466 [P1760/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2019-04-07 18:24:15,725 [P1760/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2019-04-07 18:24:15,896 [P1760/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2019-04-07 18:24:15,897 [P1760/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2019-04-07 18:24:15,940 [P1760/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 12994ms)
 2019-04-07 18:24:17,389 [P1760/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - New ApplicationUrl detected: http://localhost:54876/umbraco
 2019-04-07 18:24:17,391 [P1760/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:54876/umbraco (UmbracoModule request)
 2019-04-07 18:24:18,823 [P1760/D2/T6] INFO  umbraco.content - Load Xml from file...
 2019-04-07 18:24:18,830 [P1760/D2/T6] INFO  umbraco.content - Loaded Xml from file.
 2019-04-07 18:24:43,496 [P1760/D2/T6] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-04-07 18:24:43,496 [P1760/D2/T6] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-04-07 18:24:43,496 [P1760/D2/T6] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IParameterEditor
